Maji ,Water
Maji ya kunywa ,Drinking water
Kahawa ,Coffee
Chai ,Tea
Bia ,Beer
Kuku ,Chicken
Nyama ,Meat
Nyama choma ,Roast meat
Vegetables, Mboga
Samaki ,Fish
Wali ,Rice
Supu ,Soup
Baridi ,Cold
Hakuna nyama ,No meat
Hakuna maziwa ,No milk
Hakuna karanga  ,No nuts
Mimi ni mzio wa,I’m allergic to
Siwezi kula…,I cannot eat
Duka la dawa ,Pharmacy
Duka ,Shop
Dawa ,Medicine
Kesho ,Tomorrow
Wapi? ,Where?
Liko ,Where is the…?
Gani? ,What? 
Ipi? ,Which?
Nani? ,Who?
Naipenda ,I like it
Sipendi ,I don’t like it
Unaipenda? ,Do you like it? 
Nakupenda ,I love you
Pesa, Money
Sina pesa ,I don’t have money 
Sasa ,Now
Kidogo  ,A little
Pole pole  ,Slowly
Rafiki ,Friend
Choo ,Toilet
Safari njema ,Good journey
Asante ,Thank you
Asante sana ,Thank you very much
Karibu ,Welcome
Karibu sana ,You are welcome
Karibuni  ,Welcome
Lala salaama ,Goodnight
Samahani ,I am sorry
Niwie radhi, Excuse me
Tafadhali  ,Please
Pole , Sorry
Pose sana, Very sorry
Ndio ,Yes
Hapana ,No
Sawa ,Ok
Hapana asante ,No thank you 
Sitaki ,I don’t need 
Hakuna matata, No worries
Hamna shida ,No problem
Naelewa ,I understand
Sielewi ,I don’t understand
Naweza kuchukua picha yako? ,Can I take your picture?
Naomba kupiga picha? ,May I take pictures?
Unaongea Kiingereza?, Do you speak English?
"Samahani, unaweza ongea Kiingereza?","Excuse me, do you speak English? "
"La, siongei Kiingereza ","No, I don’t speak English"
Jambo ,Hello   
Sijambo ,I’m fine
Mambo ,How are you doing
Poa ,Cool 
Safi ,Fine
Freshi ,Fresh
habari yako? ,How are you?
Mzuri,good
Mzuri sana ,Very good
"Niko salama, asante. Na wewe?"," I am fine , thank you. And you?"
Shikamoo ,how are you
Marahaba ,im fine thank you
Habari za asubuhi ,Good morning
